id,Date,vdc,scantime,starttime
9326923,"2022-05-18 00:19:50",408.086,2992583.157,"2022-04-13 08:56:11"
9326924,"2022-05-18 00:20:02",408.124,2992593.156,"2022-04-13 08:56:11"
9326925,"2022-05-18 00:20:11",408.098,2992603.156,"2022-04-13 08:56:11"
9326926,"2022-05-18 00:20:21",408.058,2992613.157,"2022-04-13 08:56:11"
9326927,"2022-05-18 00:20:31",408.121,2992621.157,"2022-04-13 08:56:11"
9326928,"2022-05-18 00:20:41",408.023,2992633.157,"2022-04-13 08:56:11"
9326929,"2022-05-18 00:20:51",408.141,2992643.157,"2022-04-13 08:56:11"
9326930,"2022-05-18 00:21:01",408.021,2992651.157,"2022-04-13 08:56:11"
9326931,"2022-05-18 00:21:11",408.137,2992663.157,"2022-04-13 08:56:11"
9326932,"2022-05-18 00:21:22",408.047,2992673.157,"2022-04-13 08:56:11"
9326933,"2022-05-18 00:21:32",408.156,2992683.157,"2022-04-13 08:56:11"
9326934,"2022-05-18 00:21:41",407.958,2992693.157,"2022-04-13 08:56:11"
9326935,"2022-05-18 00:21:52",407.954,2992703.157,"2022-04-13 08:56:11"
9326936,"2022-05-18 00:22:01",408.091,2992711.157,"2022-04-13 08:56:11"
9326937,"2022-05-18 00:22:12",408.16,2992723.157,"2022-04-13 08:56:11"
9326938,"2022-05-18 00:22:21",408.055,2992733.157,"2022-04-13 08:56:11"
9326939,"2022-05-18 00:22:32",408.097,2992745.158,"2022-04-13 08:56:11"
9326940,"2022-05-18 00:22:42",408.111,2992753.157,"2022-04-13 08:56:11"
9326941,"2022-05-18 00:22:51",408.14,2992763.157,"2022-04-13 08:56:11"
9326942,"2022-05-18 00:23:01",408.134,2992771.157,"2022-04-13 08:56:11"
9326943,"2022-05-18 00:23:12",408.023,2992783.157,"2022-04-13 08:56:11"
9326944,"2022-05-18 00:23:22",408.085,2992793.159,"2022-04-13 08:56:11"
9326945,"2022-05-18 00:23:32",408.148,2992805.158,"2022-04-13 08:56:11"
9326946,"2022-05-18 00:23:42",408.175,2992813.157,"2022-04-13 08:56:11"
9326947,"2022-05-18 00:23:52",408.071,2992823.157,"2022-04-13 08:56:11"
9326948,"2022-05-18 00:24:02",408.116,2992833.157,"2022-04-13 08:56:11"
9326949,"2022-05-18 00:24:12",408.026,2992843.157,"2022-04-13 08:56:11"
9326950,"2022-05-18 00:24:22",408.173,2992855.158,"2022-04-13 08:56:11"
9326951,"2022-05-18 00:24:32",408.097,2992865.16,"2022-04-13 08:56:11"
9326952,"2022-05-18 00:24:42",408.101,2992873.157,"2022-04-13 08:56:11"
9326953,"2022-05-18 00:24:53",408.155,2992885.157,"2022-04-13 08:56:11"
9326954,"2022-05-18 00:25:02",408.074,2992895.16,"2022-04-13 08:56:11"
9326955,"2022-05-18 00:25:12",408.076,2992903.157,"2022-04-13 08:56:11"
9326956,"2022-05-18 00:25:22",408.093,2992915.157,"2022-04-13 08:56:11"
9326957,"2022-05-18 00:25:32",408.211,2992925.161,"2022-04-13 08:56:11"
9326958,"2022-05-18 00:25:42",408.124,2992933.157,"2022-04-13 08:56:11"
9326959,"2022-05-18 00:25:52",408.07,2992945.159,"2022-04-13 08:56:11"
9326960,"2022-05-18 00:26:02",408.145,2992955.16,"2022-04-13 08:56:11"
9326961,"2022-05-18 00:26:12",408.15,2992963.157,"2022-04-13 08:56:11"
9326962,"2022-05-18 00:26:23",408.095,2992975.156,"2022-04-13 08:56:11"
9326963,"2022-05-18 00:26:33",408.004,2992985.162,"2022-04-13 08:56:11"
9326964,"2022-05-18 00:26:42",408.108,2992993.158,"2022-04-13 08:56:11"
9326965,"2022-05-18 00:26:52",408.161,2993005.158,"2022-04-13 08:56:11"
9326966,"2022-05-18 00:27:03",408.065,2993015.157,"2022-04-13 08:56:11"
9326967,"2022-05-18 00:27:13",408.115,2993023.158,"2022-04-13 08:56:11"
9326968,"2022-05-18 00:27:23",408.101,2993035.157,"2022-04-13 08:56:11"
9326969,"2022-05-18 00:27:33",408.003,2993045.157,"2022-04-13 08:56:11"
9326970,"2022-05-18 00:27:43",408.098,2993053.157,"2022-04-13 08:56:11"
9326971,"2022-05-18 00:27:54",408.106,2993065.157,"2022-04-13 08:56:11"
9326972,"2022-05-18 00:28:04",408.1,2993077.157,"2022-04-13 08:56:11"
9326973,"2022-05-18 00:28:14",408.127,2993085.157,"2022-04-13 08:56:11"
9326974,"2022-05-18 00:28:24",408.095,2993095.157,"2022-04-13 08:56:11"
9326975,"2022-05-18 00:28:33",408.137,2993105.157,"2022-04-13 08:56:11"
9326976,"2022-05-18 00:28:44",408.204,2993115.156,"2022-04-13 08:56:11"
9326977,"2022-05-18 00:28:54",408.087,2993125.157,"2022-04-13 08:56:11"
9326978,"2022-05-18 00:29:04",408.063,2993135.157,"2022-04-13 08:56:11"
9326979,"2022-05-18 00:29:14",408.158,2993145.157,"2022-04-13 08:56:11"
9326980,"2022-05-18 00:29:24",407.976,2993155.157,"2022-04-13 08:56:11"
9326981,"2022-05-18 00:29:33",408.069,2993165.157,"2022-04-13 08:56:11"
9326982,"2022-05-18 00:29:43",408.087,2993173.157,"2022-04-13 08:56:11"
9326983,"2022-05-18 00:29:54",408.117,2993185.157,"2022-04-13 08:56:11"
9326984,"2022-05-18 00:30:04",408.047,2993195.157,"2022-04-13 08:56:11"
9326985,"2022-05-18 00:30:14",408.135,2993205.157,"2022-04-13 08:56:11"
9326986,"2022-05-18 00:30:23",408.091,2993215.157,"2022-04-13 08:56:11"
9326987,"2022-05-18 00:30:34",408.091,2993225.157,"2022-04-13 08:56:11"
9326988,"2022-05-18 00:30:44",408.08,2993237.157,"2022-04-13 08:56:11"
9326989,"2022-05-18 00:30:54",408.134,2993245.157,"2022-04-13 08:56:11"
9326990,"2022-05-18 00:31:04",408.101,2993257.157,"2022-04-13 08:56:11"
9326991,"2022-05-18 00:31:14",408.023,2993265.157,"2022-04-13 08:56:11"
9326992,"2022-05-18 00:31:24",408.067,2993275.157,"2022-04-13 08:56:11"
9326993,"2022-05-18 00:31:34",408.145,2993285.157,"2022-04-13 08:56:11"
9326994,"2022-05-18 00:31:44",408.035,2993297.157,"2022-04-13 08:56:11"
9326995,"2022-05-18 00:31:55",408.022,2993305.157,"2022-04-13 08:56:11"
9326996,"2022-05-18 00:32:05",408.142,2993317.157,"2022-04-13 08:56:11"
9326997,"2022-05-18 00:32:15",408.083,2993327.157,"2022-04-13 08:56:11"
9326998,"2022-05-18 00:32:24",408.179,2993335.157,"2022-04-13 08:56:11"
9326999,"2022-05-18 00:32:34",408.071,2993347.157,"2022-04-13 08:56:11"
9327000,"2022-05-18 00:32:45",408.192,2993357.156,"2022-04-13 08:56:11"
9327001,"2022-05-18 00:32:55",408.051,2993365.157,"2022-04-13 08:56:11"
9327002,"2022-05-18 00:33:05",408.148,2993377.157,"2022-04-13 08:56:11"
9327003,"2022-05-18 00:33:15",408.134,2993387.158,"2022-04-13 08:56:11"
9327004,"2022-05-18 00:33:25",408.074,2993395.157,"2022-04-13 08:56:11"
9327005,"2022-05-18 00:33:35",408.043,2993407.158,"2022-04-13 08:56:11"
9327006,"2022-05-18 00:33:44",408.003,2993417.157,"2022-04-13 08:56:11"
9327007,"2022-05-18 00:33:55",408.098,2993425.157,"2022-04-13 08:56:11"
9327008,"2022-05-18 00:34:05",408.015,2993437.158,"2022-04-13 08:56:11"
9327009,"2022-05-18 00:34:15",408.13,2993447.157,"2022-04-13 08:56:11"
9327010,"2022-05-18 00:34:25",408.067,2993455.157,"2022-04-13 08:56:11"
9327011,"2022-05-18 00:34:35",408.021,2993467.157,"2022-04-13 08:56:11"
9327012,"2022-05-18 00:34:45",408.042,2993477.157,"2022-04-13 08:56:11"
9327013,"2022-05-18 00:34:55",408.104,2993485.157,"2022-04-13 08:56:11"
9327014,"2022-05-18 00:35:05",408.151,2993497.158,"2022-04-13 08:56:11"
