hour (h);irradiance (W/m^2)
16;177.7777778
17;61.11111111
18;2.777777778
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;2.777777778
8;19.44444444
9;36.11111111
10;44.44444444
11;58.33333333
12;63.88888889
13;50
14;63.88888889
15;58.33333333
16;33.33333333
17;13.88888889
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;5.555555556
8;16.66666667
9;36.11111111
10;52.77777778
11;58.33333333
12;108.3333333
13;91.66666667
14;66.66666667
15;44.44444444
16;30.55555556
17;13.88888889
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;16.66666667
8;33.33333333
9;83.33333333
10;127.7777778
11;141.6666667
12;155.5555556
13;172.2222222
14;133.3333333
15;88.88888889
16;69.44444444
17;25
18;2.777777778
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;16.66666667
8;72.22222222
9;186.1111111
10;188.8888889
11;241.6666667
12;372.2222222
13;566.6666667
14;391.6666667
15;308.3333333
16;288.8888889
17;116.6666667
18;13.88888889
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;11.11111111
8;41.66666667
9;75
10;152.7777778
11;502.7777778
12;477.7777778
13;472.2222222
14;394.4444444
15;438.8888889
16;272.2222222
17;38.88888889
18;16.66666667
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;80.55555556
8;272.2222222
9;375
10;383.3333333
11;263.8888889
12;338.8888889
13;383.3333333
14;400
15;383.3333333
16;266.6666667
17;125
18;8.333333333
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;22.22222222
8;80.55555556
9;225
10;330.5555556
11;222.2222222
12;155.5555556
13;122.2222222
14;80.55555556
15;72.22222222
16;30.55555556
17;30.55555556
18;5.555555556
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;25
8;75
9;150
10;172.2222222
11;241.6666667
12;216.6666667
13;230.5555556
14;213.8888889
15;197.2222222
16;166.6666667
17;75
18;13.88888889
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;22.22222222
8;38.88888889
9;130.5555556
10;241.6666667
11;250
12;155.5555556
13;255.5555556
14;150
15;50
16;130.5555556
17;50
18;19.44444444
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;5.555555556
8;111.1111111
9;333.3333333
10;455.5555556
11;575
12;416.6666667
13;508.3333333
14;358.3333333
15;188.8888889
16;172.2222222
17;83.33333333
18;11.11111111
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;50
8;113.8888889
9;236.1111111
10;183.3333333
11;194.4444444
12;280.5555556
13;147.2222222
14;169.4444444
15;91.66666667
16;108.3333333
17;55.55555556
18;8.333333333
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;19.44444444
8;77.77777778
9;102.7777778
10;175
11;205.5555556
12;238.8888889
13;316.6666667
14;297.2222222
15;222.2222222
16;122.2222222
17;41.66666667
18;11.11111111
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;80.55555556
8;233.3333333
9;358.3333333
10;322.2222222
11;441.6666667
12;472.2222222
13;202.7777778
14;241.6666667
15;297.2222222
16;172.2222222
17;33.33333333
18;13.88888889
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;2.777777778
7;80.55555556
8;188.8888889
9;294.4444444
10;402.7777778
11;438.8888889
12;494.4444444
13;502.7777778
14;352.7777778
15;325
16;158.3333333
17;50
18;13.88888889
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;2.777777778
7;33.33333333
8;86.11111111
9;186.1111111
10;330.5555556
11;377.7777778
12;458.3333333
13;486.1111111
14;225
15;205.5555556
16;119.4444444
17;66.66666667
18;13.88888889
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;5.555555556
7;44.44444444
8;122.2222222
9;272.2222222
10;311.1111111
11;338.8888889
12;322.2222222
13;522.2222222
14;336.1111111
15;175
16;113.8888889
17;58.33333333
18;19.44444444
19;0
20;0
21;0
22;0
23;0
